Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Shiver,"The Toe > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/114401732/shiver,3.3,-1,Sport,5.7+,2,320,32.89671,-116.82641
"98 Octanos","5. Magdalena Superior > Gorros > Montserrat > Catalonia > Spain > Europe > International",https://www.mountainproject.com/route/114223927/98-octanos,3.3,-1,Sport,5.10a,4,450,41.58979,1.82673
"Night Cap","Main Rock > Spooner Crag > Lake Tahoe > Western Nevada > Nevada",https://www.mountainproject.com/route/106762052/night-cap,2.3,-1,Sport,5.8,2,125,39.1002,-119.9141
"Luis Arnaud","Morro da Babilonia > Urca (Pao de Acucar area) > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/107550688/luis-arnaud,3.2,-1,Sport,5.7,6,450,-22.95639,-43.16741
"Crescent Moon Buttress","Crescent Moon Buttress > Las Ventanas De Mina > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116381176/crescent-moon-buttress,3.2,-1,Sport,5.10a,8,,25.95222,-100.58425
Broomberg,"Achalu South Wall > Achalu > Ramanagara > Bangalore Area and Southern Karnataka > India > Asia > International",https://www.mountainproject.com/route/112787899/broomberg,3.3,-1,Sport,5.9,4,400,12.69176,77.29015
Daedalus,"Doupianifels > Meteora > Greece > Europe > International",https://www.mountainproject.com/route/112299623/daedalus,3.3,-1,Sport,5.9+,3,320,39.7214,21.6192
"Blue-Eyed Sandbagger","The Moonstone > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/106361264/blue-eyed-sandbagger,3.3,-1,Sport,5.8+,2,400,42.5291,-107.51412
"In scio bolesomme","I Pilastri > Capo Noli > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/107720086/in-scio-bolesomme,3.3,-1,Sport,5.10a,11,1200,44.19278,8.42247
"Space Cowboy","08. Sea of Joy > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/113591225/space-cowboy,3.2,-1,Sport,5.9,2,170,43.72124,-113.07766
"Looney Tunes","Big Tree Wall (Khao Khom) > Koh Yao Noi > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/107335215/looney-tunes,3.3,-1,Sport,5.10-,4,400,8.17812,98.63873
"Black Primo","Main Wall > Ophir Wall > Ophir > Telluride/Norwood area > Colorado",https://www.mountainproject.com/route/106234136/black-primo,3.2,-1,"Trad, Sport","5.9 R",2,200,37.86179,-107.86834
"Sex Panther","The Bluff > Kawakawa Bay > Lake Taupo > North Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/107698486/sex-panther,3.3,-1,"Trad, Sport",5.10a,2,131,-38.6619,175.86571
"Shortcut to Exposure","Roadside Area > Wanaka > Otago > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106606835/shortcut-to-exposure,3.3,-1,Sport,5.9,2,200,-44.65101,168.94982
"Cosmic Followers","Candy Land > Bowman Valley > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/112043555/cosmic-followers,2.4,-1,"Sport, TR",5.9,2,200,39.44101,-120.65802
"El Cautivo","Out-of-Towners Dome > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106646827/el-cautivo,2.7,-1,Sport,5.9,4,400,31.9436,-109.97141
"Valentine's Day","Sector Austria > Zona de las Frontales > El Chorro > Andalucia > Spain > Europe > International",https://www.mountainproject.com/route/112405810/valentines-day,2.9,-1,Sport,5.10a,4,420,39.34579,-1.92086
"Moss Lords of the Wasatch","East Face Slab > Back of Beyond > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/110777388/moss-lords-of-the-wasatch,2.5,-1,Sport,5.7,2,200,40.6236,-111.76257
"Amp Left","Tanner Dome > Oak Creek Canyon > The Wet Mountains > Colorado",https://www.mountainproject.com/route/107339587/amp-left,2.9,-1,Sport,5.9-,2,180,38.30838,-105.26009
Monsoon,"Damai Wall > Batu Caves > Malaysia > Asia > International",https://www.mountainproject.com/route/107052759/monsoon,3.0,-1,Sport,5.10a/b,3,80,3.2477,101.6875
"Astro Zombies","The Misfits Wall > Ouray vicinity (rock) > Colorado",https://www.mountainproject.com/route/108297781/astro-zombies,2.8,-1,Sport,5.9+,6,500,37.9768,-107.6588
"Tree Corner","VD (Very Direct) Wall > South Area > Devil's Punchbowl > High Desert > California",https://www.mountainproject.com/route/106407371/tree-corner,2.5,-1,"Trad, Sport",5.8,2,160,34.412,-117.8573
"The Matrix","Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/106545520/the-matrix,2.6,-1,Sport,5.8-,4,660,43.7974,-73.46669
"Toy Box","NW Corner > Flagstone > Willamette Valley > Oregon",https://www.mountainproject.com/route/105821018/toy-box,2.5,-1,Sport,5.7,3,250,43.9855,-122.299
"Sublime Line","Glitter Box Area > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106318432/sublime-line,2.5,-1,Sport,5.10a,2,140,33.27178,-111.04223
"Bring Me a Bucket","El Rito Traditional Area > El Rito > New Mexico",https://www.mountainproject.com/route/106273553/bring-me-a-bucket,2.8,-1,"Trad, Sport",5.9,2,300,36.4158,-106.1975
"You're So Vain","05. Rock of Ages > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/113267914/youre-so-vain,2.8,-1,Sport,5.8,2,180,43.72066,-113.07721
"Pur plaisir","b. Secteur multi-pitch > Lac Gervais > Laurentians > Quebec > Canada > North America > International",https://www.mountainproject.com/route/112940336/pur-plaisir,3.0,-1,Sport,5.7,3,70,46.26732,-74.68877
"Joe's Dyke","The Raven's Castle > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106621379/joes-dyke,2.4,-1,Sport,5.7,2,270,49.6867,-123.135
CBU,"The Dome > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/108266567/cbu,3.0,-1,"Trad, Sport",5.8,2,100,39.57073,-106.11763
"Feldspar Fixer","Uptown Rock - Lower Tier (aka Delta Wall) > Uptown Rock > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/113218618/feldspar-fixer,3.0,-1,Sport,5.10a,2,235,37.3684,-118.6892
"Magic Carpet Ride","08. Sea of Joy > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/113558454/magic-carpet-ride,3.1,-1,Sport,5.10-,2,180,43.72124,-113.07766
Aqualung,"House of Cards > Cougar Canyon (Creek) > Bow Valley > Alberta > Canada > North America > International",https://www.mountainproject.com/route/110391621/aqualung,3.0,-1,Sport,5.9,2,140,51.09785,-115.3159
"Girls on Surfboards","Bali Dome > Deckers > South Platte > Colorado",https://www.mountainproject.com/route/118748586/girls-on-surfboards,2.9,-1,Sport,5.7,3,275,39.3812,-105.1648
"Summer of Blood","The Vegetable > South Platte > Colorado",https://www.mountainproject.com/route/112332018/summer-of-blood,3.0,-1,Sport,5.7,7,1300,39.12622,-105.31377
"A Little Adventurous","Millcreek Monster > Millcreek Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/113702924/a-little-adventurous,2.7,-1,Sport,"5.8 PG13",2,150,40.6896,-111.77493
"Caging the Cobra","Cobrazone > Bald Mountain > Uinta Mountains > Utah",https://www.mountainproject.com/route/111097130/caging-the-cobra,2.5,-1,"Sport, Alpine",5.8,2,200,40.6993,-110.90342
"Ruach de Jonah","Ventana Sur Altos > Cerro Ventana Sur > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/113021462/ruach-de-jonah,3.0,-1,Sport,5.10a,7,600,-41.19191,-71.38921
"The Big Lewboski","Lebowski Wall > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/113936737/the-big-lewboski,2.4,-1,Sport,5.9,3,220,31.9438,-109.9632
"Waltz for a Lovely Wife","Khao Chin Lae > Central - Around Bangkok > Thailand > Asia > International",https://www.mountainproject.com/route/110697053/waltz-for-a-lovely-wife,3.0,-1,Sport,5.9,7,700,14.83137,100.75471
"Bolt Em All","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/116749587/bolt-em-all,2.6,-1,Sport,5.9-,2,95,36.0049,-93.2846
"Red Arete","Sebastapol Bluffs > Mt. Cook > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/109859238/red-arete,3.0,-1,"Sport, Alpine",5.7+,3,160,-43.75071,170.11739
Idiopathic,"Courthouse Rock > Eagletail Mountains > Central Arizona > Arizona",https://www.mountainproject.com/route/107080744/idiopathic,2.3,-1,Sport,"5.9- PG13",4,700,33.46406,-113.36062
"The Green Mile","The Outback > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/110751762/the-green-mile,3.0,-1,Sport,5.9,2,220,39.1987,-105.2199
"Run Don't Walk","2. The Cakewalk Area > Humphrey's Ledge > WM: North Conway > New Hampshire",https://www.mountainproject.com/route/107268090/run-dont-walk,2.5,-1,"Trad, Sport",5.9,2,160,44.08584,-71.16759
"Men With Brooms","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108314133/men-with-brooms,2.6,-1,Sport,5.7,2,,51.4076,-116.2405
"Behavior Issues","The Fringe > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107612131/behavior-issues,2.3,-1,Sport,5.10a,2,200,36.16162,-115.43509
"Sandstoner's Highway","Sunshine Wall (River Road area) > Naturita and Paradox Valley > Colorado",https://www.mountainproject.com/route/107079567/sandstoners-highway,2.7,-1,Sport,5.9,2,200,38.3682,-108.8154
13b,"Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110904210/13b,2.7,-1,Sport,5.9,2,130,42.12433,-113.67199
"Nervous Tic","Tick Rock > Mary's Bust Area > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/106874903/nervous-tic,2.6,-1,Sport,5.9,2,160,40.4145,-105.3783
"Moon Bears","Parete della Centrale > Piccolo Dain (Monte Garzole) > Arco and Surrounding Area > Italy > Europe > International",https://www.mountainproject.com/route/113523705/moon-bears,3.0,-1,Sport,5.9,9,820,46.04707,10.94681
"Oops, I Did It Again","Britney Spears Arête > Emigrant Gulch > Southwest Region > Montana",https://www.mountainproject.com/route/113558765/oops-i-did-it-again,3.0,-1,"Sport, Alpine",5.9,3,300,45.28704,-110.68426
"Nazca Line","Land that Time Forgot > Sheeprock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/105926210/nazca-line,3.0,-1,Sport,5.10a/b,5,,39.19,-105.33063
"Straight Through The Gates of Hell","Slab from Hell > Hell's Gate/ Hagerman Pass > Leadville > Colorado",https://www.mountainproject.com/route/107665383/straight-through-the-gates-of-hell,3.0,-1,"Trad, Sport",5.10a,4,400,39.28957,-106.56189
"Crack on the Mossy Breast","Bigogwe > Rwanda > Africa > International",https://www.mountainproject.com/route/115173840/crack-on-the-mossy-breast,3.0,-1,Sport,5.8+,5,500,-1.63964,29.40597
"Iki Gai","Rusted Goat Wall > White Mountain > Yukon Territory > Canada > North America > International",https://www.mountainproject.com/route/109430836/iki-gai,3.0,-1,Sport,5.10a,5,430,60.30354,-133.96689
"Slippery Slope","Slick Rock > McCall Area > West Idaho > Idaho",https://www.mountainproject.com/route/106107193/slippery-slope,2.8,-1,"Trad, Sport",5.10a,9,800,44.95018,-115.94934
"Guides in a Snowbank","c. Main Wall > Fresno Dome > Fresno Dome (Wamello) Area > Southern Sierra > California",https://www.mountainproject.com/route/109117063/guides-in-a-snowbank,2.8,-1,Sport,5.9,4,500,37.45399,-119.53479
"Jimmy the Geek","Circus Wall > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/105718228/jimmy-the-geek,2.3,-1,Sport,5.9,2,130,37.19743,-113.64353
"Tanner Classic","Tanner Dome > Oak Creek Canyon > The Wet Mountains > Colorado",https://www.mountainproject.com/route/107339646/tanner-classic,2.5,-1,Sport,5.7,2,150,38.30838,-105.26009
"African Gypsy","African Gypsy > White Rocks > West Desert > Utah",https://www.mountainproject.com/route/109690863/african-gypsy,2.4,-1,Sport,5.7,3,250,40.32278,-112.90258
"Ugly Duckling","Rattlesnake Canyon Crags (including Upper and Lower Alchemist) > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/111782491/ugly-duckling,2.9,-1,Sport,5.9,2,170,34.47098,-119.68953
"Thing Two","Tower Station > Upper Middle Elden Canyon > Middle Elden Canyon > Mt. Elden Crags > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/116118024/thing-two,3.0,-1,Sport,5.10-,2,100,35.23356,-111.60167
"Piel del Elefante","Left Teta > Cerro Las Tetas (Cayey) > Puerto Rico > North America > International",https://www.mountainproject.com/route/116698830/piel-del-elefante,3.0,-1,Sport,5.10a,2,150,18.09261,-66.23084
"Blame It On El Nino","5. El Nino Wall > The Shipyard > Piney Creek Canyon > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/111152997/blame-it-on-el-nino,2.9,-1,Sport,5.10a,2,155,44.5594,-106.94224
"Free For All","a. Parkline Slab > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107013861/free-for-all,2.7,-1,"Trad, Sport",5.9,2,200,37.67875,-119.74886
"Tres Frijoles","Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106040770/tres-frijoles,2.7,-1,Sport,5.9+,3,380,32.43213,-110.79756
"Riding With the King","Secret Crag (aka Ridge 6) > Eldorado Mountain > Boulder > Colorado",https://www.mountainproject.com/route/106131724/riding-with-the-king,3.0,-1,Sport,5.9-,2,130,39.9204,-105.288
"Autumn Speaks","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107044956/autumn-speaks,2.7,-1,"Trad, Sport","5.9 PG13",4,550,36.3916,-81.0473
"Slipstream Dihedral","Ironing Board Slabs (Upper & Lower Slabs) > Beige Tube Area / The Narrows > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105764529/slipstream-dihedral,3.0,-1,"Trad, Sport",5.9+,2,130,40.42159,-105.24011
"Tunnel Of Love","Wind Buttress > Ibex > West Desert > Utah",https://www.mountainproject.com/route/107613179/tunnel-of-love,2.7,-1,"Trad, Sport",5.10-,3,300,38.99159,-113.38951
Sipapu,"T-Rex > Coffeepot Rock Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105882711/sipapu,2.5,-1,"Trad, Sport",5.10-,2,120,34.88129,-111.80488
"Big girl panties","The. Old sawmill slabs > Central Idaho > Idaho",https://www.mountainproject.com/route/112190907/big-girl-panties,3.0,-1,Sport,"5.9+ PG13",2,100,44.26307,-114.44015
"Hello Marco 6a","Gastlosen > Switzerland > Europe > International",https://www.mountainproject.com/route/107317995/hello-marco-6a,3.0,-1,Sport,5.10a,11,1200,46.5571,7.2475
"Frodo Lives","Trilogy Buttress > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106054941/frodo-lives,2.5,-1,Sport,5.9,2,200,40.2675,-111.6254
"Wings for Life","Multipitch routes > South Face > Telendos Island > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/107867694/wings-for-life,2.6,-1,Sport,5.10a,9,825,37.004,26.9057
"Swine Flu","The Toe > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/108811049/swine-flu,2.6,-1,Sport,"5.9- PG13",2,270,32.89671,-116.82641
Obsession,"Upper Face > Manuels > Conception Bay South > Avalon Peninsula > Newfoundland > Newfoundland and Labrador > Canada > North America > International",https://www.mountainproject.com/route/108097554/obsession,3.0,-1,Sport,5.8,2,150,47.4884,-52.9665
"Amp Right","Tanner Dome > Oak Creek Canyon > The Wet Mountains > Colorado",https://www.mountainproject.com/route/105763965/amp-right,2.5,-1,Sport,5.8+,2,,38.30838,-105.26009
"Covey Leader to Raven","Training Camp > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106131748/covey-leader-to-raven,2.6,-1,Sport,5.9,2,140,40.2666,-111.6273
"Green Goddess","Villain Wall > Bat Cave Area > Caballo Lake > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/117930446/green-goddess,3.0,-1,Sport,5.9,3,210,32.93189,-107.2343
"When It All Comes Crashing Down","Recovery Wall > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/114956407/when-it-all-comes-crashing-down,3.0,-1,Sport,5.9,3,150,39.25435,-105.09099
"Wild Humans","DMZ > Inner Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118585121/wild-humans,3.0,-1,Sport,"5.10a PG13",2,220,37.51828,-118.57243
Rantanplan,"3. Magdalena Inferior > Gorros > Montserrat > Catalonia > Spain > Europe > International",https://www.mountainproject.com/route/112821262/rantanplan,3.0,-1,Sport,5.7,3,295,41.5894,1.8282
"A Second Way (Variation Finish to Seconds)","Laurel Knob > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/108525704/a-second-way-variation-finish-to-seconds,3.0,-1,"Trad, Sport",5.10-,7,900,35.15028,-83.0564
"Isn’t That a Daisy","Tombstone (Private area, permission needed) > Tum Tum > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118700074/isnt-that-a-daisy,3.3,-1,Sport,5.9,2,90,47.84809,-117.73121
"North by Northwest variation","Stone Depot > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107724603/north-by-northwest-variation,3.0,-1,"Trad, Sport",5.7,3,380,35.2591,-82.8004
"Crystal Blue Persuasion","Crystal Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111951131/crystal-blue-persuasion,3.0,-1,Sport,"5.7 R",2,400,38.8802,-120.2893
"Face au Public","Papy on Sight > Belvedere de la Carelle > Falaise de l'Escalés > Grand Cañon - Partie Amont > Gorge du Verdon > France > Europe > International",https://www.mountainproject.com/route/111934057/face-au-public,3.0,-1,Sport,5.8+,2,140,43.77522,6.38408
"Horizonte de Estrellas","South Face > Peña de Bernal > Queretaro > Central Mexico > Mexico > North America > International",https://www.mountainproject.com/route/109904499/horizonte-de-estrellas,3.0,-1,Sport,5.9,4,400,20.74833,-99.94637
"Crash Landing","Pilot Rock > Southwest Oregon > Oregon",https://www.mountainproject.com/route/107586846/crash-landing,3.0,-1,"Trad, Sport",5.8,2,250,42.0307,-122.561
"Thunder Road","Inner Marker > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/110838179/thunder-road,2.8,-1,Sport,5.9,2,205,43.8821,-103.4621
"Cubicle Pukes and Cigars","The Moon > Moonlight Crags > Northeast California > California",https://www.mountainproject.com/route/112345503/cubicle-pukes-and-cigars,3.0,-1,TR,5.9,2,150,40.17338,-120.81042
"Winter Surprise","Lefty > Manassa > San Luis Valley > Colorado",https://www.mountainproject.com/route/111299374/winter-surprise,3.0,-1,Sport,5.10a,2,,37.18961,-105.80328
Karabore,"Stup G17-20 > Anica kuk > National Park of Paklenica > Croatia > Europe > International",https://www.mountainproject.com/route/106701955/karabore,2.8,-1,Sport,5.9,3,360,44.30671,15.47783
Perrenoud,"Chli Bielenhorn > Furka Pass > Switzerland > Europe > International",https://www.mountainproject.com/route/107416996/perrenoud,3.0,-1,"Trad, Sport, Alpine",5.10a,8,600,46.5965,8.4324
Freebird,"09. Dark Side of the Moon > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/113591324/freebird,2.8,-1,Sport,5.8,2,180,43.72128,-113.07766
"Lost and Found","Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106028976/lost-and-found,2.4,-1,"Trad, Sport",5.9,3,290,35.83139,-81.90257
"Mad Cowboy Disease","Sunshine Wall (River Road area) > Naturita and Paradox Valley > Colorado",https://www.mountainproject.com/route/107480077/mad-cowboy-disease,2.8,-1,"Trad, Sport",5.10a/b,2,200,38.3682,-108.8154
"Dueling Bugles","Stewart Peak > Stewart Pocket > Central Arizona > Arizona",https://www.mountainproject.com/route/105874792/dueling-bugles,2.8,-1,"Trad, Sport",5.10a,2,95,34.21851,-111.26871
"Like Father, Like Son","Moderate Wall > Steamboat Point > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/106074927/like-father-like-son,2.8,-1,Sport,5.9,2,120,44.80861,-107.36071
"The Off Ramp","Hydrotube Area > Flagstone > Willamette Valley > Oregon",https://www.mountainproject.com/route/106138430/the-off-ramp,2.8,-1,Sport,5.10a/b,2,,43.9853,-122.2985
"Brume en Ribazie","Multi-pitch > Tannourine El Fawqa (Chir Al Ribazi) > Lebanon > Asia > International",https://www.mountainproject.com/route/117576223/brume-en-ribazie,3.0,-1,Sport,5.9,7,650,34.20288,35.92028
"Shades of Gray","Wall of Colors > Logan > Wasatch Range > Utah",https://www.mountainproject.com/route/112334469/shades-of-gray,2.5,-1,Sport,5.9+,2,150,41.80828,-111.63175
"Smiley Face","Castle Rock - East Face > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107142616/smiley-face,2.7,-1,"Trad, Sport","5.10a PG13",4,400,42.12418,-113.6714
"Clubs Full Of Jacks","Blob's Your Uncle > The Valley of Zion > Stansbury Mountains > West Desert > Utah",https://www.mountainproject.com/route/108361920/clubs-full-of-jacks,2.5,-1,Sport,5.9,2,150,40.7403,-112.6394
"Freak Show","Circus Wall > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/105879837/freak-show,2.4,-1,Sport,5.9,2,160,37.19743,-113.64353
Sundance,"Stegosaurus Rock > Jurassic Park > Southwest Oregon > Oregon",https://www.mountainproject.com/route/117285456/sundance,3.0,-1,Sport,5.8,3,270,43.20905,-122.99877
Remix,"Le Miroir d'Argentine > Switzerland > Europe > International",https://www.mountainproject.com/route/117528551/remix,3.0,-1,"Sport, Alpine",5.10a/b,14,1500,46.2769,7.1432
"Higher Heights","Blob's Your Uncle > The Valley of Zion > Stansbury Mountains > West Desert > Utah",https://www.mountainproject.com/route/111662482/higher-heights,2.6,-1,Sport,5.10a,2,200,40.7403,-112.6394
"Chi vuole essere lieto... Lieto sia","Pilastro del Bunker > Muzzerone > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/117094884/chi-vuole-essere-lieto-lieto-sia,3.0,-1,Sport,5.9+,5,600,44.05535,9.82567
"Tales from the Crypt","g. The Great Buttress > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107226580/tales-from-the-crypt,2.5,-1,"Trad, Sport, TR","5.10a R",2,120,40.44115,-75.09862
Traffic,"Hillside area > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/114517429/traffic,3.0,-1,Sport,5.10a,2,,51.40785,-116.24052
Urethra,"Nap Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111951736/urethra,3.0,-1,Sport,5.8,2,250,38.88127,-120.28982
Hufeisenkante,"Leobner Mauer > Hochschwab Area > Steiermark > Austria > Europe > International",https://www.mountainproject.com/route/117877414/hufeisenkante,3.0,-1,Sport,5.9+,7,700,47.52937,14.98766
Reisefieber,"Hintisberg > Switzerland > Europe > International",https://www.mountainproject.com/route/113750718/reisefieber,3.3,-1,Sport,5.9+,6,590,46.6586,7.9465
"Creature Comforts (aka Wild Thing)","Jackson Creek Dome > Jackson Creek > Rampart Range Road > South Platte > Colorado",https://www.mountainproject.com/route/107028415/creature-comforts-aka-wild-thing,3.0,-1,Sport,5.9,2,,39.28624,-105.06397
"Zircon Encrusted Geezers","The Moonstone > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/106379275/zircon-encrusted-geezers,3.0,-1,Sport,5.7+,4,650,42.5291,-107.51412
"El Gringo Loco","Belvedere de la Dent d'Aire > Falaise de l'Escalés > Grand Cañon - Partie Amont > Gorge du Verdon > France > Europe > International",https://www.mountainproject.com/route/114433815/el-gringo-loco,3.0,-1,Sport,5.10a,3,300,43.7674,6.3714
"Agonal Rhythm","The Moon > Moonlight Crags > Northeast California > California",https://www.mountainproject.com/route/113196070/agonal-rhythm,3.0,-1,TR,5.7,2,140,40.17338,-120.81042
"Goat's Head Soup","Old Goat Crag > Bow Valley > Alberta > Canada > North America > International",https://www.mountainproject.com/route/114498993/goats-head-soup,3.0,-1,Sport,5.9,2,70,51.0641,-115.41939
"Shakedown Street","Terrapin > The Pins > Pins And Needles (McCall Area) > West Idaho > Idaho",https://www.mountainproject.com/route/111985556/shakedown-street,3.0,-1,Sport,5.9,2,100,44.73299,-115.86198
"Lewy Komin","Sokolica > Dolina Bedkowska > Krakow - Czestochowa upland.  AKA The Jura > Poland > Europe > International",https://www.mountainproject.com/route/117739531/lewy-komin,3.0,-1,Sport,5.9,3,300,50.17207,19.74174
"Burke Box Ball Route","The Dome > Cathedral Spires Area > South Platte > Colorado",https://www.mountainproject.com/route/107028382/burke-box-ball-route,3.0,-1,Sport,5.10a,2,,39.41867,-105.26798
"Medusa's Werewolf","Jed Wall > The Pillary > Area 44 > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/114431800/medusas-werewolf,3.0,-1,Sport,5.9,2,90,49.89482,-123.16409
"Pierre et le loup","Les pieds dans l'eau > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/114041049/pierre-et-le-loup,3.0,-1,Sport,5.9,5,550,31.58553,-5.59011
"Tout droit","Le Cret-Saint-Michel > Calanque de Morgiou > Calanques > France > Europe > International",https://www.mountainproject.com/route/112820820/tout-droit,3.0,-1,Sport,5.9,4,300,43.21629,5.44318
"Poison Ivy","Cross Mountain Canyon > Cross Mountain Boulders > Colorado",https://www.mountainproject.com/route/113830203/poison-ivy,3.0,-1,Sport,"5.10a/b R",2,200,40.47776,-108.3376
Michelangelo,"Röthelstein > Grazer Bergland > Steiermark > Austria > Europe > International",https://www.mountainproject.com/route/118571921/michelangelo,3.0,-1,Sport,5.10a,9,860,47.3262,15.38616
"Cougar's Path","Tear Drop Dome > Lone Mountain (Tonopah) > Western Nevada > Nevada",https://www.mountainproject.com/route/110334733/cougars-path,3.0,-1,Sport,5.9-,3,300,37.99488,-117.51581
Beatrice,"Sperlonga > Italy > Europe > International",https://www.mountainproject.com/route/109698697/beatrice,3.0,-1,Sport,"5.8- PG13",5,400,41.22101,13.59973
"36 Views of Lone Mountain","The Moonstone > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/106379315/36-views-of-lone-mountain,3.0,-1,Sport,5.10a,2,400,42.5291,-107.51412
"Party on Wayne","The Sunny Side > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/112358796/party-on-wayne,3.0,-1,"Sport, Alpine",5.8,2,175,61.17201,-145.72496
"Pika's Penthouse","The Sunny Side > Valdez Area Rock > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/112361507/pikas-penthouse,3.0,-1,"Sport, Alpine",5.9,2,200,61.17201,-145.72496
