Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Mark of the Beast","Devil's Slide > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105860218/mark-of-the-beast,2.8,-1,Sport,5.8+,3,,30.50849,-98.819
"The Trident","Atlantis South Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/113675537/the-trident,3.0,-1,Sport,5.9,3,265,33.30561,-111.07634
"Pull My Finger","Stoned Wheat Thin Cliff > Main Island > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068356/pull-my-finger,3.3,-1,Sport,5.10a,3,190,37.7891,-118.9141
"Lord of the Slings","Trilogy Buttress > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105853685/lord-of-the-slings,2.8,-1,Sport,5.9,4,600,40.2675,-111.6254
"Virgin Suicides","i. Sun Wall (Long Slabs) > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106607810/virgin-suicides,2.9,-1,Sport,5.9+,2,140,40.25149,-75.82395
Guanica,"Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/107407244/guanica,2.6,-1,Sport,5.8,2,140,32.31428,-110.74269
"Tipping Point","Main Cliff Right > *Rumney > New Hampshire",https://www.mountainproject.com/route/110494969/tipping-point,2.7,-1,Sport,5.8,2,,43.8027,-71.83554
"Zee Tree","Pywiak Dome > Pywiack Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105883612/zee-tree,2.7,-1,"Trad, Sport",5.7,6,700,37.8453,-119.444
"Green Jello","Green Monster Slab > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105742124/green-jello,2.7,-1,Sport,5.9,2,140,40.2651,-111.6222
"Buried Treasure","Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105988542/buried-treasure,2.7,-1,Sport,5.9-,2,170,40.0041,-105.4061
"Roar of the Greasepaint","Circus Wall > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/105718219/roar-of-the-greasepaint,3.2,-1,Sport,5.10a,2,150,37.19743,-113.64353
"Jungle Mountaineering","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105949475/jungle-mountaineering,2.7,-1,Sport,5.10a,4,400,25.94838,-100.47698
"Credibility Gap","West Side > South Gateway Rock > Garden of the Gods > Colorado Springs > Colorado",https://www.mountainproject.com/route/105755446/credibility-gap,2.7,-1,Sport,5.9+,2,,38.87785,-104.88069
"Fields of Gold","Treasure Wall > Tonnere Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106028197/fields-of-gold,2.7,-1,"Trad, Sport",5.10a,3,370,40.0041,-105.4061
"Cave Route","The Rock of Ages > Pine Canyon > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105807886/cave-route,2.6,-1,Sport,5.8-,2,140,37.88057,-121.98549
"Crescent Corner","East Side > South Gateway Rock > Garden of the Gods > Colorado Springs > Colorado",https://www.mountainproject.com/route/105753649/crescent-corner,2.7,-1,Sport,5.9+,2,100,38.87784,-104.88019
"Fractured Fairytales","Helen's Dome > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/106911087/fractured-fairytales,2.5,-1,Sport,5.7,6,800,39.18868,-105.33495
"Local Hero","Creekside > Tonnere Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106029592/local-hero,2.8,-1,"Trad, Sport",5.10a,2,210,40.0043,-105.4065
"Don't Rock My Boat","B. Recessed Slab > C. Lower Tier > Tiers of Zion > Lookout Mountain Road > Golden > Colorado",https://www.mountainproject.com/route/110250818/dont-rock-my-boat,2.6,-1,Sport,5.7,2,205,39.74393,-105.24208
"Void of Form","Pontatoc Ridge > Pontatoc Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/114262472/void-of-form,3.1,-1,Sport,5.9,10,1000,32.34528,-110.88783
D4,"Davis Face > Buena Vista > Colorado",https://www.mountainproject.com/route/109364756/d4,3.3,-1,Sport,5.9+,6,500,38.91645,-106.10438
"The Chossmaster","King Pins > Sunshine Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/106399178/the-chossmaster,2.5,-1,Sport,5.7,2,90,47.02297,-119.97362
"Bunny Face","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106154363/bunny-face,2.5,-1,Sport,5.7,2,150,44.3665,-121.14564
"The Big Easy","Armed and Dangerous (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/106052151/the-big-easy,2.6,-1,Sport,5.7,2,,43.80202,-71.83678
"Sand Felipe","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732785/sand-felipe,2.5,-1,Sport,5.10-,2,110,36.03509,-115.46345
"Jungle Mountaineering","The Jungle > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/106858608/jungle-mountaineering,2.5,-1,Sport,5.10a,3,,39.25848,-105.10665
"Pink Torpedo","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106994501/pink-torpedo,2.5,-1,Sport,5.9+,2,,38.6331,-105.2297
"Cast In Stone","The Negativity Cave > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108157965/cast-in-stone,3.3,-1,Sport,5.8,2,200,39.32618,-120.6478
Raindance,"Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741569/raindance,2.5,-1,Sport,5.7,2,,42.07673,-113.7137
Centerfold,"Wall of the '90s > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105756814/centerfold,2.4,-1,Sport,5.10a,2,,39.7388,-105.3222
"Total Eclipse","Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105968232/total-eclipse,2.4,-1,Sport,5.10a,2,155,40.0038,-105.4058
"Deuces Wild","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748292/deuces-wild,2.4,-1,Sport,5.10a,2,145,39.7378,-105.3196
"Las Chimuelas","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106079593/las-chimuelas,2.4,-1,Sport,5.9,3,250,25.94838,-100.47698
Whatchamacallit,"Sweet Rock > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106333989/whatchamacallit,2.3,-1,Sport,5.8,2,140,31.87238,-110.01815
