Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Town Dogs and Coyotes,https://www.mountainproject.com/route/116490330/town-dogs-and-coyotes,2.3,2,245,75,36.14947,-115.42673,Riding Hood Wall,01-Calico Basin,Nevada,USA,North America,Domestic,Sport,,,5.9+,,
Miami Vice,https://www.mountainproject.com/route/110992315/miami-vice,3,2,180,55,45.90001,6.92772,The Hut Crag,Envers des Aiguilles,,France,Europe,International,Sport,,,5.10a,,
Tia melis,https://www.mountainproject.com/route/106480974/tia-melis,3,2,170,52,39.6939,2.6728,Paret dels Coloms,Sa Gubia,,Spain,Europe,International,Sport,,,5.10a,,
Yogi Goes to Mexico,https://www.mountainproject.com/route/112811546/yogi-goes-to-mexico,2.7,2,130,40,25.95044,-100.47755,El Mirador,El Potrero Chico,,Mexico,North America,International,Sport,,,5.10a,,
Eastern Block,https://www.mountainproject.com/route/113766699/eastern-block,2.4,2,120,37,47.578,-117.2859,East Face,Big Rock,Washington,USA,North America,Domestic,Sport,,,5.7,,
Tarantula,https://www.mountainproject.com/route/116086859/tarantula,2.8,3,230,70,26.01097,-111.34166,Pilon De Lolita,Loreto Area,,Mexico,North America,International,Sport,,,5.9+,,
Wilding-101,https://www.mountainproject.com/route/115187696/wilding-101,3,5,350,107,43.49324,-122.66391,McKinley Rock,Southwest Oregon,Oregon,USA,North America,Domestic,Sport,,,5.10a,,
Alien II,https://www.mountainproject.com/route/109116430/alien-ii,3,6,450,137,-22.09529,46.7659,Tsaranoro Valley,Madagascar,,Madagascar,Africa,International,Sport,,,5.10a,,
Unknown Face Climb to Nowhere,https://www.mountainproject.com/route/109011727/unknown-face-climb-to-nowhere,3,4,400,122,36.58651,-118.24075,Parisian Buttress,Whitney Portal,California,USA,North America,Domestic,Sport,,,5.10a,,
Dudeist Priest,https://www.mountainproject.com/route/114079206/dudeist-priest,3,2,195,59,48.64048,-119.44834,The Mid West - Middle Wall,South Canyon,Washington,USA,North America,Domestic,Sport,,,5.10a,,
Hornbill Way,https://www.mountainproject.com/route/114272595/hornbill-way,3,2,240,73,8.17812,98.63873,Big Tree Wall (Khao Khom),Koh Yao Noi,,Thailand,Asia,International,Sport,,,5.10a,,
Pierre Navigator Delle Creste,https://www.mountainproject.com/route/117285027/pierre-navigator-delle-creste,3,7,600,183,45.79991,6.9523,East Face (multi-pitch),Monte Chetif,,Italy,Europe,International,Sport,,,5.10a,,
Nirvana,https://www.mountainproject.com/route/117961925/nirvana,3,2,120,37,45.45948,11.57551,Lumignano Nuovo,Lumignano,,Italy,Europe,International,Sport,,,5.10a,,
