Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Where's the Remote?,https://www.mountainproject.com/route/117074865/wheres-the-remote,2.9,8,735,224,50.8527,-121.7047,Marble Canyon,Interior Plateau,,Canada,North America,International,Sport,,,5.9,,
Voie des Dalles,https://www.mountainproject.com/route/116768835/voie-des-dalles,3,8,700,213,43.74825,6.3281,Falaise de Belvedere des Malines,Grand Cañon - Partie Amont,,France,Europe,International,Sport,,,5.9,,
Gryffindor,https://www.mountainproject.com/route/117334627/gryffindor,3,2,,,47.60097,-120.71324,Hogwarts,Tumwater Canyon,Washington,USA,North America,Domestic,Sport,,,5.9,,
Monkey Business,https://www.mountainproject.com/route/117315402/monkey-business,3,2,75,23,48.45412,-122.63171,Jungle Jim Wall,Mount Erie,Washington,USA,North America,Domestic,Sport,,,5.9,,
Serpentin,https://www.mountainproject.com/route/117667408/serpentin,3,4,350,107,47.89783,-69.98783,Secteur à Pat Brouillard (?),Palissades de Charlevoix,,Canada,North America,International,Sport,,,5.9,,
Zeitgeist,https://www.mountainproject.com/route/117587668/zeitgeist,3,3,400,122,-26.92701,152.94801,Desperation Wall,Tibrogargan,,Australia,Oceania,International,Sport,,,5.9,,
Arête de l'extrême Bec,https://www.mountainproject.com/route/113912578/arete-de-lextreme-bec,2.5,4,400,122,43.2102,5.4206,Le Bec de Sormiou,Calanque de Sormiou,,France,Europe,International,Sport,,,5.7,,
Arête Sud-Ouest,https://www.mountainproject.com/route/117953746/arete-sud-ouest,3,5,330,101,46.5571,7.2475,Gastlosen,Switzerland,,Switzerland,Europe,International,Sport,,,5.9,,
Quartzriss 5c+,https://www.mountainproject.com/route/117673649/quartzriss-5c,3,4,360,110,46.679,8.187,Handegg,Grimsel,,Switzerland,Europe,International,Sport,,,5.9,,
Alligator Soup,https://www.mountainproject.com/route/105762465/alligator-soup,3,2,140,43,38.87475,-104.87948,East Face,Kindergarten Rock,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
L'Antécime,https://www.mountainproject.com/route/114452907/lantecime,3,5,360,110,43.2102,5.4206,Le Bec de Sormiou,Calanque de Sormiou,,France,Europe,International,Sport,,,5.9,,
Rincon,https://www.mountainproject.com/route/117730902/rincon,3,2,130,40,43.2146,-123.57408,Inca Rock,The Callahans,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Nicora,https://www.mountainproject.com/route/117797411/nicora,3,3,225,69,44.195,8.30952,Settore Settentrionale,Rocca di Perti,,Italy,Europe,International,Sport,,,5.9,,
Buena vista,https://www.mountainproject.com/route/116544742/buena-vista,3,3,,,28.20881,-108.20842,Callejon del Pino,Rancho San Lorenzo,,Mexico,North America,International,Sport,,,5.9,,
Magellan's Voyage (old traverse finish),https://www.mountainproject.com/route/111824309/magellans-voyage-old-traverse-finish,3,2,200,61,41.50877,-124.07899,High Bluffs,Redwood Coast,California,USA,North America,Domestic,Sport,,,5.9,,
Give a Little Bit,https://www.mountainproject.com/route/114305880/give-a-little-bit,2.9,2,100,30,44.04562,-90.02017,River side of Main Massif or Quarry Wall,Necedah (Petenwell Bluff),Wisconsin,USA,North America,Domestic,Sport,,,5.9+,,
Aber Muckl!,https://www.mountainproject.com/route/106483893/aber-muckl,3,2,200,61,39.7214,21.6192,Doupianifels,Meteora,,Greece,Europe,International,Sport,,,5.9,,
Prime Rib,https://www.mountainproject.com/route/112356232/prime-rib,3,2,400,122,37.34577,-119.401,Fallen Eagle Dome,Shuteye Creek Area,California,USA,North America,Domestic,Sport,,,5.9,,
Here And Terror,https://www.mountainproject.com/route/110729218/here-and-terror,3,2,210,64,-21.83892,15.21058,Old Graves Site Area,Spitzkoppe and Pontoks,,Namibia,Africa,International,Sport,,,5.9,,
Ranger Smith,https://www.mountainproject.com/route/114802114/ranger-smith,2.6,2,135,41,45.59942,-110.90911,Yogi Bear Spire,Upper Bear Canyon,Montana,USA,North America,Domestic,Sport,,,5.9,,
Halestone,https://www.mountainproject.com/route/112515964/halestone,3,4,330,101,-36.77539,175.53228,Lost Buddah Wall,Castle Rock,,New Zealand,Oceania,International,Sport,,,5.9,,
Veggie Delight,https://www.mountainproject.com/route/112516051/veggie-delight,3,5,350,107,-36.77539,175.53228,Lost Buddah Wall,Castle Rock,,New Zealand,Oceania,International,Sport,,,5.9,,
La Facilota,https://www.mountainproject.com/route/114062434/la-facilota,3,2,,,25.60675,-100.50317,La Zona Rosa,Caracol,,Mexico,North America,International,Sport,,,5.9,,
5 star,https://www.mountainproject.com/route/112177914/5-star,3,3,200,61,8.06894,98.79743,Shangri-la,South - Islands & Beaches,,Thailand,Asia,International,Sport,,,5.9,,
Chemin Perdu 5c,https://www.mountainproject.com/route/107363316/chemin-perdu-5c,3,4,350,107,46.5571,7.2475,Gastlosen,Switzerland,,Switzerland,Europe,International,Sport,,,5.9,,
Labirintite,https://www.mountainproject.com/route/112020559/labirintite,3,3,330,101,-22.97885,-43.19608,Cantagalo,Rio de Janeiro,,Brazil,South America,International,Sport,,,5.8+,,
Foxie,https://www.mountainproject.com/route/107158082/foxie,3,9,800,244,46.5829,8.3235,Räterichsboden - Seeplatten,Grimsel,,Switzerland,Europe,International,Sport,,,5.9,,
Fata Morgana,https://www.mountainproject.com/route/111956403/fata-morgana,3,6,920,280,-22.33888,-42.72446,Capacete,Salinas / Três Picos,,Brazil,South America,International,Sport,,,5.9,,
Water Works,https://www.mountainproject.com/route/110315413/water-works,3,3,300,91,37.99537,-117.51591,Water Works,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.9,,
Lone Pine Arete,https://www.mountainproject.com/route/110942599/lone-pine-arete,3,2,180,55,50.14848,-125.27582,West Wing,Eagle Crag,,Canada,North America,International,Sport,,,5.9,,
Wewek,https://www.mountainproject.com/route/118184344/wewek,3,4,450,137,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9,,
Kubis,https://www.mountainproject.com/route/118184199/kubis,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9,,
Unknown between Divine Miss M & Erotic Plants,https://www.mountainproject.com/route/105829436/unknown-between-divine-miss-m-erotic-plants,3.3,4,370,113,39.18868,-105.33495,Acid Rock,Goose Creek/Molly Gulch Campground,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Il Canto Del Sifone,https://www.mountainproject.com/route/113360971/il-canto-del-sifone,4,3,300,91,39.38971,8.3853,Pranu Sartu,Italy,,Italy,Europe,International,Sport,,,5.9+,,
Mong Dol,https://www.mountainproject.com/route/108344622/mong-dol,3,2,150,46,34.80982,128.65691,"Ae-Bawi, Geoje-Do",South Korea,,South Korea,Asia,International,Sport,,,5.9,,
Il Gufo,https://www.mountainproject.com/route/107497490/il-gufo,3,3,330,101,44.214,8.3327,Settore Centrale,Monte Cucco,,Italy,Europe,International,Sport,,,5.9,,
Covallonga,https://www.mountainproject.com/route/107912107/covallonga,3,2,170,52,41.2438,1.0611,Covallonga,Antenes,,Spain,Europe,International,Sport,,,5.9,,
Edge of Mordor,https://www.mountainproject.com/route/118815766/edge-of-mordor,3,3,250,76,44.30132,-122.14792,South East Face,Wolf Rock,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Prime Interest,https://www.mountainproject.com/route/118751321/prime-interest,3,3,,,35.24743,-114.71684,H&R Block,Christmas Tree Pass,Nevada,USA,North America,Domestic,Sport,,,5.9,,
El Escalón (6a),https://www.mountainproject.com/route/118136100/el-escalon-6a,4,3,,,43.20465,-6.01856,El Escalón,Valle de Quirós,,Spain,Europe,International,Sport,,,5.9+,,
Too Cool for Lycra,https://www.mountainproject.com/route/106074886/too-cool-for-lycra,2.6,2,120,37,44.80861,-107.36071,Moderate Wall,Steamboat Point,Wyoming,USA,North America,Domestic,Sport,,,5.9,,
L16 - Bog of the Eternal Stench,https://www.mountainproject.com/route/111931844/l16-bog-of-the-eternal-stench,2.8,2,170,52,43.8731,-103.4317,The Big Gash,Iron Mountain,South Dakota,USA,North America,Domestic,Sport,,,5.9,,
Fall Harvest,https://www.mountainproject.com/route/118782101/fall-harvest,2.8,2,200,61,34.79673,-111.81949,Turkey Dome,Village of Oak Creek,Arizona,USA,North America,Domestic,Sport,,,5.9,,
PTSD,https://www.mountainproject.com/route/106984892/ptsd,2.5,2,160,49,40.4145,-105.3783,Tick Rock,Mary's Bust Area,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Easy Eshi,https://www.mountainproject.com/route/111125482/easy-eshi,2.4,2,150,46,9.08768,38.79739,Amora Gedel (Addis Ababa),Ethiopia,,Ethiopia,Africa,International,Sport,,,5.9,,
El Gran Nueve,https://www.mountainproject.com/route/111659630/el-gran-nueve,4,2,,,31.69969,-106.57678,Nueve Meses (Nueve Montes),Don Rayo Hills,,Mexico,North America,International,Sport,,,5.9+,,
I'm Wet,https://www.mountainproject.com/route/116227172/im-wet,2.7,2,180,55,34.95763,-82.78708,X-Wall,Big Rock Mountain,South Carolina,USA,North America,Domestic,Sport,,,5.9,,
Fish Butt,https://www.mountainproject.com/route/118225456/fish-butt,2.7,2,130,40,36.03554,-93.34472,Fish Wall,Steel Creek - Upper Buffalo River,Arkansas,USA,North America,Domestic,Sport,,,5.9,,
Hair Eraser,https://www.mountainproject.com/route/117039070/hair-eraser,2.7,2,170,52,37.90744,-118.81632,P-Funkamerika Dome South Face,Granite Basin,California,USA,North America,Domestic,Sport,,,5.9,,
L'Offre,https://www.mountainproject.com/route/117794439/loffre,3,9,660,201,43.78696,6.3935,Falaise de Secteur de L'Offre,Grand Cañon - Partie Amont,,France,Europe,International,Sport,,,5.9+,,
Sledge Hammer,https://www.mountainproject.com/route/114425139/sledge-hammer,2.7,2,,,43.72124,-113.07766,08. Sea of Joy,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Deep Space,https://www.mountainproject.com/route/113989109/deep-space,2.7,4,250,76,18.75,99.22999,Anxiety State Crisis Cave,Crazy Horse *TEMPORARILY CLOSED*,,Thailand,Asia,International,Sport,,,5.9,,
Godzilla,https://www.mountainproject.com/route/118764795/godzilla,2.7,4,250,76,51.06725,-115.41682,Kanga Creek South,Bow Valley,,Canada,North America,International,Sport,,,5.9,,
Turkey Trot,https://www.mountainproject.com/route/118702327/turkey-trot,2.5,2,170,52,34.79673,-111.81949,Turkey Dome,Village of Oak Creek,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Zuzia,https://www.mountainproject.com/route/118184274/zuzia,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8+,,
Ringtail Cat Walk,https://www.mountainproject.com/route/109027862/ringtail-cat-walk,2.4,2,160,49,37.5137,-118.5702,Health Club,Central Gorge,California,USA,North America,Domestic,Sport,,,5.9,,
Stairway to Stem,https://www.mountainproject.com/route/110503508/stairway-to-stem,2.5,2,120,37,47.42952,-121.62058,Gun Show,Exit 38: Far Side,Washington,USA,North America,Domestic,Sport,,,5.9,,
Manassa Mauler,https://www.mountainproject.com/route/108874780/manassa-mauler,2.5,2,140,43,37.18961,-105.80328,Robust,Manassa,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Hania,https://www.mountainproject.com/route/118184253/hania,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8+,,
The Art of Letting Go,https://www.mountainproject.com/route/114410851/the-art-of-letting-go,2.5,2,165,50,43.72201,-113.07766,10. Stone Temple,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Nameless Crack,https://www.mountainproject.com/route/107838656/nameless-crack,2.4,2,,,38.27075,-108.72217,Open Range,Red Rocks,Nevada,USA,North America,Domestic,Sport,,,5.9,,
Soleil de Soiree,https://www.mountainproject.com/route/109430826/soleil-de-soiree,2.4,4,393,120,60.30354,-133.96689,Rusted Goat Wall,White Mountain,,Canada,North America,International,Sport,,,5.9,,
La Plantigrade Magnésophage,https://www.mountainproject.com/route/117404479/la-plantigrade-magnesophage,2.5,4,330,101,46.0274,6.9315,Vallorcine,Valley crags,,France,Europe,International,Sport,,,5.9,,
Petit Poo et Betty Boop,https://www.mountainproject.com/route/113657340/petit-poo-et-betty-boop,2.5,3,180,55,46.26732,-74.68877,b. Secteur multi-pitch,Lac Gervais,,Canada,North America,International,Sport,,,5.9,,
Follow That Thief,https://www.mountainproject.com/route/113538998/follow-that-thief,3,2,,,39.5157,-105.39342,Canyon Amphitheater,The Pooka,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Nitti,https://www.mountainproject.com/route/112401811/nitti,2.5,2,120,37,39.34579,-1.92086,Sector Austria,Zona de las Frontales,,Spain,Europe,International,Sport,,,5.9,,
Three Border Phatties,https://www.mountainproject.com/route/112802221/three-border-phatties,3.1,2,160,49,25.95021,-100.47533,Plum Wall,Las Estrellas Canyon,,Mexico,North America,International,Sport,,,5.9+,,
Feature Presentation,https://www.mountainproject.com/route/110326489/feature-presentation,2.5,2,180,55,37.99673,-117.52103,The Ramp,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.9,,
Spigolone 5c+,https://www.mountainproject.com/route/108038623/spigolone-5c,2.5,5,600,183,46.0513,9.0185,Denti della Veccia,Switzerland,,Switzerland,Europe,International,Sport,,,5.9,,
Hang Em High,https://www.mountainproject.com/route/107008338/hang-em-high,2.5,2,180,55,24.0734,56.0474,Spaghetti Western,Wonderwall,,Oman,Asia,International,Sport,,,5.9,,
Playin' Hooky,https://www.mountainproject.com/route/106701638/playin-hooky,3.3,4,400,122,39.74102,-105.41042,Creek Side,Clear Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.8,,
Waves,https://www.mountainproject.com/route/105714728/waves,3.6,2,180,55,43.8864,-103.46677,Shipyard Rock,South Seas,South Dakota,USA,North America,Domestic,Sport,,,5.8,,
Meteor,https://www.mountainproject.com/route/107352012/meteor,3.3,4,400,122,32.90461,-116.81845,Left Wall,The Wedge,California,USA,North America,Domestic,Sport,,,5.8,,
In Lightning,https://www.mountainproject.com/route/105738353/in-lightning,3,2,180,55,32.40574,-110.72538,The Druid,6 - Mid-Mountain,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Cosmic Space Dust Lazers,https://www.mountainproject.com/route/106147229/cosmic-space-dust-lazers,2.8,9,1000,305,40.2667,-111.6245,Layer Cake,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.8,,
Zinger,https://www.mountainproject.com/route/105742181/zinger,2.9,3,290,88,42.12433,-113.67199,Hostess Gully - West Corridor,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Sinocranium,https://www.mountainproject.com/route/105740942/sinocranium,2.8,7,650,198,42.09646,-113.68672,Steinfell's Dome,City of Rocks,Oregon,USA,North America,Domestic,Sport,,,5.8,,
Guanica,https://www.mountainproject.com/route/107407244/guanica,2.6,2,140,43,32.31428,-110.74269,Left Hand Wall,Hairpin Turn Area,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Tipping Point,https://www.mountainproject.com/route/110494969/tipping-point,2.7,2,,,43.8027,-71.83554,Main Cliff Right,Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.8,,
Cast In Stone,https://www.mountainproject.com/route/108157965/cast-in-stone,3.3,2,200,61,39.32618,-120.6478,The Negativity Cave,The Benches,California,USA,North America,Domestic,Sport,,,5.8,,
Whatchamacallit,https://www.mountainproject.com/route/106333989/whatchamacallit,2.3,2,140,43,31.87238,-110.01815,Sweet Rock,West Stronghold,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Dangling Participles,https://www.mountainproject.com/route/105823943/dangling-participles,2.3,2,190,58,36.15544,-115.43461,The Great Red Book Area,04-Second Pullout (Calico II),Nevada,USA,North America,Domestic,Sport,,,5.8,,
Fruit Pie,https://www.mountainproject.com/route/105742175/fruit-pie,2.6,3,300,91,42.12433,-113.67199,Hostess Gully - West Corridor,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Igor,https://www.mountainproject.com/route/118184291/igor,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8+,,
Skylight Arete,https://www.mountainproject.com/route/105983487/skylight-arete,3.3,3,300,91,37.92354,-107.76635,Pipeline Wall,Telluride/Norwood area,Colorado,USA,North America,Domestic,Sport,,,5.8,,
Eye-Full Tower,https://www.mountainproject.com/route/106210372/eye-full-tower,3.4,2,160,49,42.13496,-113.67163,Bracksiek's Pillar,South Hills,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Princess Ella's Magical Adventure,https://www.mountainproject.com/route/107326023/princess-ellas-magical-adventure,3.1,4,270,82,37.97795,-107.65657,Waterfall Wall,Ouray vicinity (rock),Colorado,USA,North America,Domestic,Sport,,,5.8,,
The Dead Terrorist,https://www.mountainproject.com/route/107845085/the-dead-terrorist,2.6,2,150,46,34.10202,-116.96535,Lower Tier (Left Side),Lower Tier,California,USA,North America,Domestic,Sport,,,5.8,,
Hellgate Highway,https://www.mountainproject.com/route/112137271/hellgate-highway,2.7,4,380,116,40.59065,-111.6495,Main Hellgate,Hellgate Cliffs,Utah,USA,North America,Domestic,Sport,,,5.8,,
Boys in Bikinis,https://www.mountainproject.com/route/118814479/boys-in-bikinis,2.8,2,190,58,39.3812,-105.1648,Bali Dome,Deckers,Colorado,USA,North America,Domestic,Sport,,,5.8+,,
Super Soul Slab,https://www.mountainproject.com/route/108024059/super-soul-slab,2.6,3,210,64,34.10202,-116.96535,Lower Tier (Left Side),Lower Tier,California,USA,North America,Domestic,Sport,,,5.8,,
The Relish Route,https://www.mountainproject.com/route/108503837/the-relish-route,2.4,3,236,72,49.67268,-123.1567,AMO Wall,Shannon Falls,,Canada,North America,International,Sport,,,5.8,,
Emil and the Detectives,https://www.mountainproject.com/route/105962588/emil-and-the-detectives,2.5,2,130,40,49.90989,-123.15665,Conroy's Castle,Chek,,Canada,North America,International,Sport,,,5.8,,
Ramsey's Shenanigans,https://www.mountainproject.com/route/107377663/ramseys-shenanigans,3,3,300,91,25.95004,-100.47694,Wonder Wall,El Potrero Chico,,Mexico,North America,International,Sport,,,5.9+,,
I'll Tell You What's Cool,https://www.mountainproject.com/route/111443148/ill-tell-you-whats-cool,3.9,7,500,152,44.50456,-109.17743,What's Cool Area,Lower Canyon Granite,Wyoming,USA,North America,Domestic,Sport,,,5.8,,
Dome Driver,https://www.mountainproject.com/route/107201900/dome-driver,3,3,,,30.5082,-98.81924,Cheap Wine Wall,Main Dome,Texas,USA,North America,Domestic,Sport,,,5.8,,
Heart of Stone,https://www.mountainproject.com/route/107176077/heart-of-stone,3.2,5,400,122,47.9019,-119.1164,Orange Wall,Banks Lake / Northrup Canyon,Washington,USA,North America,Domestic,Sport,,,5.9+,,
Serpentine,https://www.mountainproject.com/route/112393635/serpentine,2.6,2,,,44.41854,-80.44132,The Anvil,Metcalfe Rock,,Canada,North America,International,Sport,,,5.8+,,
It Takes Two,https://www.mountainproject.com/route/105841766/it-takes-two,2.5,2,220,67,42.12433,-113.67199,Hostess Gully - West Corridor,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Pole Dancing Dragons,https://www.mountainproject.com/route/116492650/pole-dancing-dragons,3.2,2,200,61,33.30497,-111.07714,The Funny Farm,Atlantis,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Driver'sTest->Run for Cover,https://www.mountainproject.com/route/106172045/driverstest-run-for-cover,2.4,3,300,91,40.2665,-111.624,The Jobsite,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.8,,
Bunny Bucket Buttress,https://www.mountainproject.com/route/107500597/bunny-bucket-buttress,3.9,9,900,274,-33.5093,150.2655,Pierce's Pass,Blue Mountains,,Australia,Oceania,International,Sport,,,5.8,,
Triboro Bridge,https://www.mountainproject.com/route/108541102/triboro-bridge,2.9,2,110,34,18.35194,-66.47877,Caliche (Ciales),Puerto Rico,Puerto Rico,USA,North America,Domestic,Sport,,,5.9+,,
Magnetic North,https://www.mountainproject.com/route/107650026/magnetic-north,2.3,4,420,128,32.43116,-110.78156,Wilderness of Rocks Domes,7 - Upper Highway,Arizona,USA,North America,Domestic,Sport,,,5.8+,,
Creamsicle Buttress,https://www.mountainproject.com/route/115339534/creamsicle-buttress,4,2,200,61,47.88339,-119.09213,Road Side Rock,Banks Lake / Northrup Canyon,Washington,USA,North America,Domestic,Sport,,,5.8,,
Dizzy,https://www.mountainproject.com/route/105911941/dizzy,3.2,2,100,30,37.5188,-89.02746,A: Playground Wall -Detention Area,Cedar Bluff,Illinois,USA,North America,Domestic,Sport,,,5.8,,
Sound of Silence,https://www.mountainproject.com/route/117559715/sound-of-silence,4,5,400,122,40.234,9.50826,Surtana,Sardinia,,Italy,Europe,International,Sport,,,5.8,,
Welcome to canada,https://www.mountainproject.com/route/117123486/welcome-to-canada,4,2,450,137,46.46179,-83.3477,Cummings Lake,Ontario North Bouldering and Rock,,Canada,North America,International,Sport,,,5.8,,
Feed The Sweed,https://www.mountainproject.com/route/108720061/feed-the-sweed,2.5,3,200,61,32.40108,-110.69681,Barnum Rock,6 - Mid-Mountain,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Middle Ground,https://www.mountainproject.com/route/110334813/middle-ground,4,2,200,61,37.99488,-117.51581,Tear Drop Dome,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.8,,
South Ridge,https://www.mountainproject.com/route/109056996/south-ridge,4,3,350,107,-9.66901,15.57423,The Shield,Pungo Andongo - Pedras Negras - Black Rocks,,Angola,Africa,International,Sport,,,5.8,,
La Liedekerke,https://www.mountainproject.com/route/107406054/la-liedekerke,4,2,180,55,50.4798,4.9388,Massif de la Liedekerke,Rochers de Beez,,Belgium,Europe,International,Sport,,,5.8,,
Strawberry Moon,https://www.mountainproject.com/route/114018624/strawberry-moon,2.6,4,600,183,45.89537,-110.96109,Landing Strip,Airplane Bowl,Montana,USA,North America,Domestic,Sport,,,5.8+,,
Crocs mignons et vieilles dentelles,https://www.mountainproject.com/route/106475511/crocs-mignons-et-vieilles-dentelles,2.6,5,330,101,46.0274,6.9315,Vallorcine,Valley crags,,France,Europe,International,Sport,,,5.8+,,
crack boltée 3,https://www.mountainproject.com/route/112931231/crack-boltee-3,2.5,3,,,46.26732,-74.68877,b. Secteur multi-pitch,Lac Gervais,,Canada,North America,International,Sport,,,5.8+,,
Bish,https://www.mountainproject.com/route/106761113/bish,3.1,2,150,46,34.03252,-116.14754,Escape Rock (Northeast Face),Escape Rock,California,USA,North America,Domestic,Sport,,,5.8,,
Independence Wall,https://www.mountainproject.com/route/113259307/independence-wall,3.3,2,200,61,38.8802,-120.2893,Crystal Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.8,,
Sweet Cigarillo,https://www.mountainproject.com/route/106797185/sweet-cigarillo,3.2,2,230,70,39.18863,-105.33053,Upper Smoking Section,Smoking Sections,Colorado,USA,North America,Domestic,Sport,,,5.8,,
Unknown 5.8 Face,https://www.mountainproject.com/route/113585005/unknown-58-face,3.3,2,,,39.10057,-105.52353,Chicken Rock,Valley of The Chickens,Colorado,USA,North America,Domestic,Sport,,,5.8,,
The Dragon's Spine,https://www.mountainproject.com/route/107800472/the-dragons-spine,3.2,2,350,107,45.07772,-122.10021,Coethedral Main,Coethedral,Oregon,USA,North America,Domestic,Sport,,,5.8,,
Grey Waves,https://www.mountainproject.com/route/105933053/grey-waves,2.4,5,500,152,51.08231,-115.12814,Kid Goat Buttress,Bow Valley,,Canada,North America,International,Sport,,,5.8,,
Pancake Butt Dumpster Slut,https://www.mountainproject.com/route/113109969/pancake-butt-dumpster-slut,3.2,2,145,44,34.21851,-111.26871,Stewart Peak,Stewart Pocket,Arizona,USA,North America,Domestic,Sport,,,5.8,,
High Hopes,https://www.mountainproject.com/route/107699465/high-hopes,3.3,2,150,46,-38.6619,175.86571,The Point,Kawakawa Bay,,New Zealand,Oceania,International,Sport,,,5.8,,
Fire & Rain,https://www.mountainproject.com/route/114446568/fire-rain,3.3,2,150,46,43.72106,-113.07745,07. American Beauty,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Sweet Avocado,https://www.mountainproject.com/route/114353535/sweet-avocado,3.5,6,1100,335,-22.09529,46.7659,Tsaranoro Valley,Madagascar,,Madagascar,Africa,International,Sport,,,5.8,,
Chlorochose,https://www.mountainproject.com/route/107450425/chlorochose,2.4,7,450,137,43.7832,6.39108,Dalles Grises,Belvedere de la Carelle,,France,Europe,International,Sport,,,5.8+,,
Fields of Fire,https://www.mountainproject.com/route/105737378/fields-of-fire,2.4,2,80,24,35.3037,-120.69618,Shadow Rock,Bishop Peak,California,USA,North America,Domestic,Sport,,,5.8,,
Le Grand Diedre Jaune,https://www.mountainproject.com/route/111934203/le-grand-diedre-jaune,3.5,5,300,91,43.21629,5.44318,Le Cret-Saint-Michel,Calanque de Morgiou,,France,Europe,International,Sport,,,5.8,,
Beatrice,https://www.mountainproject.com/route/109698697/beatrice,3,5,400,122,41.22101,13.59973,Sperlonga,Italy,,Italy,Europe,International,Sport,,,5.8-,PG13,
Via Expressissima,https://www.mountainproject.com/route/118270199/via-expressissima,3,3,,,-12.72979,-39.70672,North Face,Morro da Toca,,Brazil,South America,International,Sport,,,5.8-,PG13,
Cheese Grater,https://www.mountainproject.com/route/111867128/cheese-grater,3.2,4,350,107,51.1768,-115.6965,Take it for Granite,Mt. Cory,,Canada,North America,International,Sport,,,5.8,,
Night Cap,https://www.mountainproject.com/route/106762052/night-cap,2.3,2,125,38,39.1002,-119.9141,Main Rock,Spooner Crag,Nevada,USA,North America,Domestic,Sport,,,5.8,,
Cave Route,https://www.mountainproject.com/route/105807886/cave-route,2.6,2,140,43,37.88057,-121.98549,The Rock of Ages,Pine Canyon,California,USA,North America,Domestic,Sport,,,5.8-,,
You're So Vain,https://www.mountainproject.com/route/113267914/youre-so-vain,2.8,2,180,55,43.72066,-113.07721,05. Rock of Ages,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Buffalo Brothers,https://www.mountainproject.com/route/106285424/buffalo-brothers,2.5,2,180,55,32.90468,-116.8186,Blue Sky Wall,The Wedge,California,USA,North America,Domestic,Sport,,,5.8-,,
Knossos,https://www.mountainproject.com/route/105926176/knossos,2.8,5,,,39.19,-105.33063,Land that Time Forgot,Sheeprock,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Obsession,https://www.mountainproject.com/route/108097554/obsession,3,2,150,46,47.4884,-52.9665,Upper Face,Manuels,,Canada,North America,International,Sport,,,5.8,,
The Dizzy Channel,https://www.mountainproject.com/route/107581826/the-dizzy-channel,3.2,4,270,82,39.556,-111.6875,Dizzy Rock,Maple Canyon Road,Utah,USA,North America,Domestic,Sport,,,5.8-,,
Freebird,https://www.mountainproject.com/route/113591324/freebird,2.8,2,180,55,43.72128,-113.07766,09. Dark Side of the Moon,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.8,,
Sundance,https://www.mountainproject.com/route/117285456/sundance,3,3,270,82,43.20905,-122.99877,Stegosaurus Rock,Jurassic Park,Oregon,USA,North America,Domestic,Sport,,,5.8,,
Urethra,https://www.mountainproject.com/route/111951736/urethra,3,2,250,76,38.88127,-120.28982,Nap Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.8,,
Campos Magneticos,https://www.mountainproject.com/route/115355120/campos-magneticos,3,2,,,41.58826,1.8273,Southeast Face,4. Miranda De Santa Magdalena,,Spain,Europe,International,Sport,,,5.7,,
